name_keyword,→ canonical
فلتر,مياه فلتر
مياه,مياه الحنفية
مياة,مياه الحنفية
موية,مياه الحنفية
مويه,مياه الحنفية
حنفي,مياه الحنفية
المياه,مياه الحنفية
شط,البهارات والصوصات
صلصة,البهارات والصوصات
صوص,البهارات والصوصات
خل,البهارات والصوصات
بهار,البهارات والصوصات
فلفل,البهارات والصوصات
كركم,البهارات والصوصات
زنجبيل,البهارات والصوصات
هيل,البهارات والصوصات
قرفة,البهارات والصوصات
كمون,البهارات والصوصات
كزبرة,البهارات والصوصات
قهوة,الحبوب والبقوليات
قهوه,الحبوب والبقوليات
ارز,الحبوب والبقوليات
أرز,الحبوب والبقوليات
قمح,الحبوب والبقوليات
عدس,الحبوب والبقوليات
حمص,الحبوب والبقوليات
فول,الحبوب والبقوليات
فاصولي,الحبوب والبقوليات
ذرة,الحبوب والبقوليات
شعير,الحبوب والبقوليات
لوز,الحبوب والبقوليات
فستق,الحبوب والبقوليات
كاجو,الحبوب والبقوليات
بندق,الحبوب والبقوليات
جوز,الحبوب والبقوليات
سمسم,الحبوب والبقوليات
ترمس,الحبوب والبقوليات
جريش,الحبوب والبقوليات
بر ,الحبوب والبقوليات
سمك,الأسماك والمأكولات البحرية
تون,الأسماك والمأكولات البحرية
جمبري,الأسماك والمأكولات البحرية
روبيان,الأسماك والمأكولات البحرية
سلمون,الأسماك والمأكولات البحرية
بلطي,الأسماك والمأكولات البحرية
لحم,اللحوم والدواجن
دجاج,اللحوم والدواجن
فروج,اللحوم والدواجن
شاورما,اللحوم والدواجن
كباب,اللحوم والدواجن
حليب,الحليب ومنتجات الألبان
لبن,الحليب ومنتجات الألبان
جبن,الحليب ومنتجات الألبان
زبادي,الحليب ومنتجات الألبان
قشطة,الحليب ومنتجات الألبان
عصير,المشروبات
شاي,المشروبات
كركدي,المشروبات
نسكافيه,المشروبات
عسل,عسل
زيت,الدهون والزيوت
سمن,الدهون والزيوت
مربى,الحلويات والشوكولاتة
شوكولا,الحلويات والشوكولاتة
حلاوة,الحلويات والشوكولاتة
كاكاو,الحلويات والشوكولاتة
بسكويت,الحلويات والشوكولاتة
علف,الأعلاف
اعلاف,الأعلاف
بيض,الأطعمة الجاهزة للأكل
