sample_id,canonical_category
pis-0060-r01,الحلويات والشوكولاتة
al-0100-r01,الحلويات والشوكولاتة
al-0099-r01,الحلويات والشوكولاتة
pis-0059-r01,الحلويات والشوكولاتة
al-0098-r01,الحلويات والشوكولاتة
pis-0058-r01,الحلويات والشوكولاتة
uu-pe-0510-r01,الفواكه والخضار
zab-0109-r01,الفواكه والخضار
al-0101-r01,الحلويات والشوكولاتة
al-0102-r01,الحلويات والشوكولاتة
pis-0061-r01,الحلويات والشوكولاتة
uu-pe-0518-r01,الفواكه والخضار
al-0103-r01,الحلويات والشوكولاتة
al-0104-r01,الحلويات والشوكولاتة
pis-0063-r01,الحلويات والشوكولاتة
uu-pe-0523-r01,الفواكه والخضار
al-0105-r01,الحلويات والشوكولاتة
pis-0064-r01,الحلويات والشوكولاتة
uu-pe-0527-r01,الفواكه والخضار
pis-0065-r01,الحلويات والشوكولاتة
al-0106-r01,الحلويات والشوكولاتة
pis-0066-r01,الحلويات والشوكولاتة
al-0107-r01,الحلويات والشوكولاتة
al-0108-r01,الحلويات والشوكولاتة
pis-0067-r01,الحلويات والشوكولاتة
ses-0035-r01,أغذية متنوعة
pis-0068-r01,الحلويات والشوكولاتة
al-0109-r01,الحلويات والشوكولاتة
uu-pe-0537-r01,الفواكه والخضار
pis-0071-r01,الحلويات والشوكولاتة
ses-0038-r01,أغذية متنوعة
al-0112-r01,الحلويات والشوكولاتة
1-2116-r01,الحلويات والشوكولاتة
uu-pe-0558-r01,الفواكه والخضار
oou-on-0310-r01,الفواكه والخضار
uu-pe-0561-r01,الفواكه والخضار
zab-0144-r01,الفواكه والخضار
zab-0146-r01,الفواكه والخضار
pis-0072-r01,الحلويات والشوكولاتة
uuo2-0003-r01,الحلويات والشوكولاتة
uu-pe-0571-r01,الفواكه والخضار
uu-pe-0572-r01,الفواكه والخضار
oou-on-0318-r01,الفواكه والخضار
pis-0073-r01,الحلويات والشوكولاتة
al-0114-r01,الحلويات والشوكولاتة
oou-on-0319-r01,الفواكه والخضار
uu-pe-0574-r01,الفواكه والخضار
pis-0074-r01,الحلويات والشوكولاتة
al-0115-r01,الحلويات والشوكولاتة
oou-on-0320-r01,الفواكه والخضار
zab-0158-r01,الفواكه والخضار
zab-0159-r01,الفواكه والخضار
al-0116-r01,الحلويات والشوكولاتة
pis-0075-r01,الحلويات والشوكولاتة
al-0117-r01,الحلويات والشوكولاتة
