"Sampling Date
تاريخ سحب العينة","Sample Category
فئة العينة","Sample Name
اسم العينة","Sample ID
رمز العينة","Facility Name
اسم المنشأة","Municipality name 
اسم البلدية","Valid/ Invalid 
مطابقة/غير مطابقة","""Invalid test
الاختبار الغير مطابق"""
04/01/2025,سمك مطبوخ,سمك فيليه,fis-0006-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,اللحوم المطبوخة (Cooked meat),لحم بقري,Cm-0070-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,الدجاج المطبوخ (Cooked chicken) ,دجاج كرسبي,co-0412-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,الدجاج المطبوخ (Cooked chicken) ,دجاج مشوي,co-0413-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,الدجاج المطبوخ (Cooked chicken) ,دجاج باربكيو,co-0414-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,البطاطا (sweet potatoes),بطاطا حلوة مطبوخ,OO-OSS-sp-0048-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,البطاطس (potatoes),بطاطس مشوي,OO-OSS-po-0307-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,الدجاج المطبوخ (Cooked chicken) ,دجاج تشيلي,co-0415-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,السلطة(Salad)  \t ,سلطة فواكه,Sal-0957-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,كيك (cake),كيك تمر,ck-0121-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
04/01/2025,السلطة(Salad)  \t ,تبولة,Sal-0958-R01,فت هاوس,بلدية العريجاء,غير مطابقة,ايشيريشيا كولاي
04/01/2025,العصائر الطازجة Un-pasteurized juices (fresh),عصير فراولة,jui-0360-R01,فت هاوس,بلدية العريجاء,مطابقة,لا يوجد
