keyword,matches,non_compliant,non_compliance_rate_%,csv_filename
مياه,319,47,14.7,مياه.csv
دجاج ني,28,19,67.9,دجاج ني.csv
ذرة,24,3,12.5,ذرة.csv
لحم عجل,20,6,30.0,لحم عجل.csv
شعير,14,0,0.0,شعير.csv
برسيم,10,0,0.0,برسيم.csv
فخذ عجل بلدي,10,1,10.0,فخذ عجل بلدي.csv
لحم بطن نعيمي بلدي,10,3,30.0,لحم بطن نعيمي بلدي.csv
كبدة غنم بلدي,8,4,50.0,كبدة غنم بلدي.csv
تبن,8,0,0.0,تبن.csv
لحم نعيمي,8,4,50.0,لحم نعيمي.csv
كبدة عجل,7,3,42.9,كبدة عجل.csv
رودس,6,0,0.0,رودس.csv
قلب عجل,6,2,33.3,قلب عجل.csv
كبدة عجل بلدي,5,2,40.0,كبدة عجل بلدي.csv
موية حوض,5,5,100.0,موية حوض.csv
لحم فخذ نعيمي بلدي,5,1,20.0,لحم فخذ نعيمي بلدي.csv
كتف حاشي بلدي,5,1,20.0,كتف حاشي بلدي.csv
قلب حاشي بلدي,4,1,25.0,قلب حاشي بلدي.csv
بطن عجل بلدي,3,2,66.7,بطن عجل بلدي.csv
فيدكو,3,0,0.0,فيدكو.csv
لحم حاشي بلدي,3,2,66.7,لحم حاشي بلدي.csv
كلية نعيمي بلدي,3,1,33.3,كلية نعيمي بلدي.csv
كبدة من نفس النعيمي,3,1,33.3,كبدة من نفس النعيمي.csv
لحم كتف عجل بلدي,3,2,66.7,لحم كتف عجل بلدي.csv
لحم فخذ حاشي بلدي,3,1,33.3,لحم فخذ حاشي بلدي.csv
كلية حاشي بلدي,2,1,50.0,كلية حاشي بلدي.csv
كبدة من نفس الحاشي,2,1,50.0,كبدة من نفس الحاشي.csv
لحم عجل بلدي فخذ,2,1,50.0,لحم عجل بلدي فخذ.csv
لحم حاشي كتف بلدي,2,1,50.0,لحم حاشي كتف بلدي.csv
لحم كتف عجل باكستاني,2,1,50.0,لحم كتف عجل باكستاني.csv
دجاج متبل,2,1,50.0,دجاج متبل.csv
شعير حب,2,0,0.0,شعير حب.csv
ضهر عجل بلدي,2,1,50.0,ضهر عجل بلدي.csv
كلوة من نفس النعيمي,2,1,50.0,كلوة من نفس النعيمي.csv
مكعب وافي,2,0,0.0,مكعب وافي.csv
قلب من نفس النعيمي,2,1,50.0,قلب من نفس النعيمي.csv
قلب غنم بلدي,2,2,100.0,قلب غنم بلدي.csv
فخذ لحم عجل بلدي,1,1,100.0,فخذ لحم عجل بلدي.csv
قطعة ظهروفخذ عجل كشميري,1,1,100.0,قطعة ظهروفخذ عجل كشميري.csv
قطع دجاج عادي ني,1,1,100.0,قطع دجاج عادي ني.csv
قطع دجاج حراق ني,1,1,100.0,قطع دجاج حراق ني.csv
قلب بقر باكستاني,1,1,100.0,قلب بقر باكستاني.csv
كبابا دجاج ني,1,1,100.0,كبابا دجاج ني.csv
كبدة حاشي من حاشي اخر,1,1,100.0,كبدة حاشي من حاشي اخر.csv
