source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,6694,2025-07-22,2025-07,2025-W30,3,1,OSSO1UOSSU-0030-R01,OSSO1UOSSU-0030-R01,برسيم,اعلاف,,اعلاف,animal_feed,حظيرة نايف عبدالله سلطان العتيبي,حظيرة نايف عبدالله سلطان العتيبي,,حظيرة نايف عبدالله سلطان العتيبي,العزيزية,بلدية,بلدية العزيزية,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,1,False
Data 2025.xlsx,6699,2025-07-22,2025-07,2025-W30,3,1,OSSO1UOSSU-0035-R01,OSSO1UOSSU-0035-R01,برسيم,اعلاف,,اعلاف,animal_feed,مؤسسة انوار الدرب,مؤسسة انوار الدرب,,مؤسسة انوار الدرب,العزيزية,بلدية,بلدية العزيزية,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6708,2025-07-22,2025-07,2025-W30,3,1,OSSO1UOSSU-0043-R01,OSSO1UOSSU-0043-R01,برسيم,اعلاف,,اعلاف,animal_feed,شركة كاش لتجارة المواشي,شركة كاش لتجارة المواشي,,شركة كاش لتجارة المواشي,العزيزية,بلدية,بلدية العزيزية,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6840,2025-07-26,2025-07,2025-W30,3,5,OSSO1UOSSU-0049-R01,OSSO1UOSSU-0049-R01,برسيم طبرجل,اعلاف,,اعلاف,animal_feed,حوش 124 – إبل,حوش 124,إبل,حوش 124 – إبل,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6842,2025-07-26,2025-07,2025-W30,3,5,OSSO1UOSSU-0050-R01,OSSO1UOSSU-0050-R01,برسيم,اعلاف,,اعلاف,animal_feed,هادي الحميدي السبيعي – رقم النشاط 163 – غنم,هادي الحميدي السبيعي,رقم النشاط 163 – غنم,هادي الحميدي السبيعي – رقم النشاط 163 – غنم,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6847,2025-07-26,2025-07,2025-W30,3,5,OSSO1UOSSU-0054-R01,OSSO1UOSSU-0054-R01,برسيم,اعلاف,,اعلاف,animal_feed,عايد عباد المطيري – رقم المبسط 160,عايد عباد المطيري,رقم المبسط 160,عايد عباد المطيري – رقم المبسط 160,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6852,2025-07-26,2025-07,2025-W30,3,5,OSSO1UOSSU-0056-R01,OSSO1UOSSU-0056-R01,برسيم,اعلاف,,اعلاف,animal_feed,تركي ناصر القحطاني – رقم المبسط 132,تركي ناصر القحطاني,رقم المبسط 132,تركي ناصر القحطاني – رقم المبسط 132,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6855,2025-07-26,2025-07,2025-W30,3,5,OSSO1UOSSU-0058-R01,OSSO1UOSSU-0058-R01,برسيم,اعلاف,,اعلاف,animal_feed,مؤسسة إنعام الكرامة للتجارة (أبو مشعل الغامدي) – رقم المبسط 131,مؤسسة إنعام الكرامة للتجارة (أبو مشعل الغامدي),رقم المبسط 131,مؤسسة إنعام الكرامة للتجارة (أبو مشعل الغامدي) – رقم المبسط 131,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6858,2025-07-26,2025-07,2025-W30,3,5,OSSO1UOSSU-0060-R01,OSSO1UOSSU-0060-R01,برسيم,اعلاف,,اعلاف,animal_feed,نواف عبدالله الشهري – رقم المبسط 124,نواف عبدالله الشهري,رقم المبسط 124,نواف عبدالله الشهري – رقم المبسط 124,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6865,2025-07-26,2025-07,2025-W30,3,5,OSSO1UOSSU-0065-R01,OSSO1UOSSU-0065-R01,برسيم,اعلاف,,اعلاف,animal_feed,حاكم ظافر الحارثي – رقم المبسط 41,حاكم ظافر الحارثي,رقم المبسط 41,حاكم ظافر الحارثي – رقم المبسط 41,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
