source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,859,2025-01-31,2025-01,2025-W05,1,4,po-0096-r01,po-0096-R01,دجاج ني,الدجاج (Poultry),Poultry,الدجاج (Poultry),cooked_meat_poultry,مطعم فيجن البخاري,مطعم فيجن البخاري,,مطعم فيجن البخاري,الروضة,بلدية,بلدية الروضة,False,True,العد الكلي للبكتيريا | السالمونيلا,العد الكلي للبكتيريا | السالمونيلا,2,السالمونيلا,العد الكلي للبكتيريا,True,pathogen,,1,False
Data 2025.xlsx,8224,2025-02-09,2025-02,2025-W06,1,6,po-0136-r01,po-0136-R01,كباب دجاج ني,الدجاج (Poultry),Poultry,الدجاج (Poultry),cooked_meat_poultry,شركة الطربوش الدمشقي,شركة الطربوش الدمشقي,,شركة الطربوش الدمشقي,الشمال,بلدية,بلدية الشمال,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,15,True
Data 2025.xlsx,1446,2025-02-23,2025-02,2025-W08,1,6,po-0100-r01,po-0100-R01,دجاج ني,الدجاج (Poultry),Poultry,الدجاج (Poultry),cooked_meat_poultry,فندق ماريوت,فندق ماريوت,,فندق ماريوت,الملز,بلدية,بلدية الملز,True,False,لا يوجد,,0,,,False,none,,9,True
Data 2025.xlsx,3943,2025-04-05,2025-04,2025-W14,2,5,po-0109-r01,po-0109-R01,كباب دجاج ني,الدجاج (Poultry),Poultry,الدجاج (Poultry),cooked_meat_poultry,مطعم سمر قندي - حي غرناطة,مطعم سمر قندي,حي غرناطة,مطعم سمر قندي - حي غرناطة,الروضة,بلدية,بلدية الروضة,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,9,True
Data 2025.xlsx,7158,2025-04-08,2025-04,2025-W15,2,1,po-0127-r01,po-0127-R01,كباب دجاج ني,الدجاج (Poultry),Poultry,الدجاج (Poultry),cooked_meat_poultry,مقلط الفريج - حي قرطبة,مقلط الفريج,حي قرطبة,مقلط الفريج - حي قرطبة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,14,True
Data 2025.xlsx,3641,2025-04-27,2025-04,2025-W17,2,6,sw-2935-r01,sw-2935-R01,مسحة قطاعة دجاج ني,(Swabs) المسحات,Swabs,(Swabs) المسحات,swab,مطعم شورمه - حي الرمال,مطعم شورمه,حي الرمال,مطعم شورمه - حي الرمال,الروضة,بلدية,بلدية الروضة,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,date_parsed_from_text,4,True
Data 2025.xlsx,4019,2025-05-05,2025-05,2025-W19,2,0,po-0110-r01,po-0110-R01,كباب دجاج ني,الدجاج (Poultry),Poultry,الدجاج (Poultry),cooked_meat_poultry,مطعم انعام الرافدين - حي غرناطة,مطعم انعام الرافدين,حي غرناطة,مطعم انعام الرافدين - حي غرناطة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,2,True
Data 2025.xlsx,7236,2025-05-08,2025-05,2025-W19,2,3,po-0128-r01,po-0128-R01,كباب دجاج ني,الدجاج (Poultry),Poultry,الدجاج (Poultry),cooked_meat_poultry,كانون القرية - حي قرطبة,كانون القرية,حي قرطبة,كانون القرية - حي قرطبة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,6,True
Data 2025.xlsx,8266,2025-06-09,2025-06,2025-W24,2,0,pomin-0001-r01,pomin-0001-R01,كباب دجاج ني,دجاج ني مفروم مبرد / مجمد Raw minced (meat and poultry);chilled/frozen,meat and poultry,دجاج ني مفروم مبرد / مجمد Raw minced (meat and poultry);chilled/frozen,raw_meat,مطعم ريم الرياض,مطعم ريم الرياض,,مطعم ريم الرياض,العليا,بلدية,بلدية العليا,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,7,True
Data 2025.xlsx,5156,2025-06-14,2025-06,2025-W24,2,5,po-0119-r01,po-0119-R01,كباب دجاج ني,الدجاج (Poultry),Poultry,الدجاج (Poultry),cooked_meat_poultry,كرزة - حي الوادي,كرزة,حي الوادي,كرزة - حي الوادي,الشمال,بلدية,بلدية الشمال,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,date_parsed_from_text,13,True
