source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,400,2025-01-18,2025-01,2025-W03,1,5,cor-0197-r01,Cor-0197-R01,ذرة,الذرة (Corn),Corn,الذرة (Corn),produce,مطعم بوقا,مطعم بوقا,,مطعم بوقا,المعذر,بلدية,بلدية المعذر,True,False,لا يوجد,,0,,,False,none,,2,True
Data 2025.xlsx,490,2025-01-19,2025-01,2025-W03,1,6,cor-0198-r01,Cor-0198-R01,ذرة,الذرة (Corn),Corn,الذرة (Corn),produce,مطعم فايرجيل,مطعم فايرجيل,,مطعم فايرجيل,الشمال,بلدية,بلدية الشمال,True,False,لا يوجد,,0,,,False,none,,3,True
Data 2025.xlsx,1367,2025-02-18,2025-02,2025-W08,1,1,cor-0208-r01,Cor-0208-R01,ذرة,الذرة (Corn),Corn,الذرة (Corn),produce,شركة فنادق انتركونتينتال المحدودة,شركة فنادق انتركونتينتال المحدودة,,شركة فنادق انتركونتينتال المحدودة,الشميسي,بلدية,بلدية الشميسي,True,False,لا يوجد,,0,,,False,none,,7,True
Data 2025.xlsx,1422,2025-02-23,2025-02,2025-W08,1,6,sal-1090-r01,Sal-1090-R01,سلطة ذرة,السلطة(Salad),Salad,السلطة(Salad),produce,فندق ماريوت,فندق ماريوت,,فندق ماريوت,الملز,بلدية,بلدية الملز,True,False,لا يوجد,,0,,,False,none,,2,True
Data 2025.xlsx,1892,2025-03-04,2025-03,2025-W10,1,1,appe-0323-r01,Appe-0323-R01,فاصوليا سوداء مع الذرة,مقبلات (Appetizers),Appetizers,مقبلات (Appetizers),prepared_meal,أسواق التميمي,أسواق التميمي,,أسواق التميمي,المعذر,بلدية,بلدية المعذر,True,False,لا يوجد,,0,,,False,none,,7,True
Data 2025.xlsx,7173,2025-04-08,2025-04,2025-W15,2,1,cor-0270-r01,Cor-0270-R01,ذرة,الذرة (Corn),Corn,الذرة (Corn),produce,كوب كاش شاروخان - حي قرطبة,كوب كاش شاروخان,حي قرطبة,كوب كاش شاروخان - حي قرطبة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,2,True
Data 2025.xlsx,5495,2025-06-22,2025-06,2025-W25,2,6,cor-0247-r01,Cor-0247-R01,ذرة,الذرة (Corn),Corn,الذرة (Corn),produce,صب واي - حي اليروموك,صب واي,حي اليروموك,صب واي - حي اليروموك,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,2,True
Data 2025.xlsx,6142,2025-07-07,2025-07,2025-W28,3,0,cor-0253-r01,Cor-0253-R01,ذرة,الذرة (Corn),Corn,الذرة (Corn),produce,اسيان هب بيتوتي ماكي - الرياض بارك - حي العقيق,اسيان هب بيتوتي ماكي,الرياض بارك - حي العقيق,اسيان هب بيتوتي ماكي - الرياض بارك - حي العقيق,الشمال,بلدية,بلدية الشمال,True,False,لا يوجد,,0,,,False,none,,1,False
Data 2025.xlsx,6277,2025-07-13,2025-07,2025-W28,3,6,sal-1446-r01,Sal-1446-R01,سلطة ذرة مع خيار,السلطة(Salad),Salad,السلطة(Salad),produce,مطعم مشويات دار الزمرد,مطعم مشويات دار الزمرد,,مطعم مشويات دار الزمرد,الروضة,بلدية,بلدية الروضة,False,True,استافيلوكوكس اورياس,استافيلوكوكس اورياس,1,استافيلوكوكس اورياس,,True,pathogen,date_parsed_from_text,4,True
Data 2025.xlsx,6851,2025-07-26,2025-07,2025-W30,3,5,cor-0259-r01,Cor-0259-R01,ذرة,اعلاف,,اعلاف,animal_feed,تركي ناصر القحطاني – رقم المبسط 132,تركي ناصر القحطاني,رقم المبسط 132,تركي ناصر القحطاني – رقم المبسط 132,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6854,2025-07-26,2025-07,2025-W30,3,5,cor-0260-r01,Cor-0260-R01,ذرة صفراء مجروش,الذرة (Corn),Corn,الذرة (Corn),produce,مؤسسة إنعام الكرامة للتجارة (أبو مشعل الغامدي) – رقم المبسط 131,مؤسسة إنعام الكرامة للتجارة (أبو مشعل الغامدي),رقم المبسط 131,مؤسسة إنعام الكرامة للتجارة (أبو مشعل الغامدي) – رقم المبسط 131,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6857,2025-07-26,2025-07,2025-W30,3,5,cor-0261-r01,Cor-0261-R01,ذرة,الذرة (Corn),Corn,الذرة (Corn),produce,نواف عبدالله الشهري – رقم المبسط 124,نواف عبدالله الشهري,رقم المبسط 124,نواف عبدالله الشهري – رقم المبسط 124,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6863,2025-07-26,2025-07,2025-W30,3,5,cor-0262-r01,Cor-0262-R01,ذرة,الذرة (Corn),Corn,الذرة (Corn),produce,حاكم ظافر الحارثي – رقم المبسط 41,حاكم ظافر الحارثي,رقم المبسط 41,حاكم ظافر الحارثي – رقم المبسط 41,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6818,2025-07-26,2025-07,2025-W30,3,5,cor-0263-r01,Cor-0263-R01,ذرة,ذرة,,ذرة,produce,مؤسسة ال فاء - حي قرطبة,مؤسسة ال فاء,حي قرطبة,مؤسسة ال فاء - حي قرطبة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,4,True
Data 2025.xlsx,6200,2025-08-07,2025-08,2025-W32,3,3,sau-1963-r01,sau-1963-R01,صوص ذرة,صوص (sauce),sauce,صوص (sauce),sauce_condiment,مطعم ايمان البجادي - حي النخيل,مطعم ايمان البجادي,حي النخيل,مطعم ايمان البجادي - حي النخيل,العليا,بلدية,بلدية العليا,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,1,False
