source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,2012,2025-03-09,2025-03,2025-W10,1,6,ri-0038-r01,ri-0038-R01,رز ابيض مع شعيرة,وجبات الرز Rice meal,Rice meal,وجبات الرز Rice meal,prepared_meal,فتة وصنوبر,فتة وصنوبر,,فتة وصنوبر,المعذر,بلدية,بلدية المعذر,True,False,لا يوجد,,0,,,False,none,,5,True
Data 2025.xlsx,6710,2025-07-22,2025-07,2025-W30,3,1,OSSO1UOSSU-0045-R01,OSSO1UOSSU-0045-R01,شعير,اعلاف,,اعلاف,animal_feed,شركة كاش لتجارة المواشي,شركة كاش لتجارة المواشي,,شركة كاش لتجارة المواشي,العزيزية,بلدية,بلدية العزيزية,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6691,2025-07-22,2025-07,2025-W30,3,1,ma-0121-r01,ma-0121-R01,شعير,"الشعير ,مشتقات الشعير (Malt , malt derivatives )","Malt , malt derivatives","الشعير ,مشتقات الشعير (Malt , malt derivatives )",produce,حظيرة البندري ناصر بن زيد,حظيرة البندري ناصر بن زيد,,حظيرة البندري ناصر بن زيد,العزيزية,بلدية,بلدية العزيزية,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,1,False
Data 2025.xlsx,6700,2025-07-22,2025-07,2025-W30,3,1,ma-0122-r01,ma-0122-R01,شعير,"الشعير ,مشتقات الشعير (Malt , malt derivatives )","Malt , malt derivatives","الشعير ,مشتقات الشعير (Malt , malt derivatives )",produce,مؤسسة انوار الدرب,مؤسسة انوار الدرب,,مؤسسة انوار الدرب,العزيزية,بلدية,بلدية العزيزية,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6712,2025-07-22,2025-07,2025-W30,3,1,ma-0123-r01,ma-0123-R01,شعير,اعلاف,,اعلاف,animal_feed,شركة سدار للتجارة,شركة سدار للتجارة,,شركة سدار للتجارة,العزيزية,بلدية,بلدية العزيزية,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,1,False
Data 2025.xlsx,6841,2025-07-26,2025-07,2025-W30,3,5,ma-0130-r01,ma-0130-R01,شعير فيدكو,"الشعير ,مشتقات الشعير (Malt , malt derivatives )","Malt , malt derivatives","الشعير ,مشتقات الشعير (Malt , malt derivatives )",produce,هادي الحميدي السبيعي – رقم النشاط 163 – غنم,هادي الحميدي السبيعي,رقم النشاط 163 – غنم,هادي الحميدي السبيعي – رقم النشاط 163 – غنم,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6846,2025-07-26,2025-07,2025-W30,3,5,ma-0131-r01,ma-0131-R01,شعير,اعلاف,,اعلاف,animal_feed,عايد عباد المطيري – رقم المبسط 160,عايد عباد المطيري,رقم المبسط 160,عايد عباد المطيري – رقم المبسط 160,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6849,2025-07-26,2025-07,2025-W30,3,5,ma-0132-r01,ma-0132-R01,شعير حب,"الشعير ,مشتقات الشعير (Malt , malt derivatives )","Malt , malt derivatives","الشعير ,مشتقات الشعير (Malt , malt derivatives )",produce,تركي ناصر القحطاني – رقم المبسط 132,تركي ناصر القحطاني,رقم المبسط 132,تركي ناصر القحطاني – رقم المبسط 132,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6850,2025-07-26,2025-07,2025-W30,3,5,ma-0133-r01,ma-0133-R01,شعير مضغوط,"الشعير ,مشتقات الشعير (Malt , malt derivatives )","Malt , malt derivatives","الشعير ,مشتقات الشعير (Malt , malt derivatives )",produce,تركي ناصر القحطاني – رقم المبسط 132,تركي ناصر القحطاني,رقم المبسط 132,تركي ناصر القحطاني – رقم المبسط 132,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6862,2025-07-26,2025-07,2025-W30,3,5,ma-0134-r01,ma-0134-R01,شعير حب,"الشعير ,مشتقات الشعير (Malt , malt derivatives )","Malt , malt derivatives","الشعير ,مشتقات الشعير (Malt , malt derivatives )",produce,حاكم ظافر الحارثي – رقم المبسط 41,حاكم ظافر الحارثي,رقم المبسط 41,حاكم ظافر الحارثي – رقم المبسط 41,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
