source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,3235,2025-04-20,2025-04,2025-W16,2,6,raw-0107-r01,Raw-0107-R01,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة جوهرة النفل للتجارة,ملحمة جوهرة النفل للتجارة,,ملحمة جوهرة النفل للتجارة,الشمال,بلدية,بلدية الشمال,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,date_parsed_from_text,3,True
Data 2025.xlsx,3744,2025-04-29,2025-04,2025-W18,2,1,raw-0142-r01,Raw-0142-R01,لحم بطن نعيمي بلدي من خروف اخر,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة دروب الامانة للحوم الطازجة,ملحمة دروب الامانة للحوم الطازجة,,ملحمة دروب الامانة للحوم الطازجة,الشمال,بلدية,بلدية الشمال,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,date_parsed_from_text,2,True
Data 2025.xlsx,4481,2025-05-18,2025-05,2025-W20,2,6,raw-0199-r01,Raw-0199-R01,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة عنوان اللحوم للتجارة,ملحمة عنوان اللحوم للتجارة,,ملحمة عنوان اللحوم للتجارة,الشمال,بلدية,بلدية الشمال,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6025,2025-06-07,2025-06,2025-W23,2,5,raw-0329-r01,Raw-0329-R01,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,شركة درة العقيق للتجاره,شركة درة العقيق للتجاره,,شركة درة العقيق للتجاره,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,5290,2025-06-17,2025-06,2025-W25,2,1,raw-0245-r01,Raw-0245-R01,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,معرض الوطنيه,معرض الوطنيه,,معرض الوطنيه,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,5801,2025-06-30,2025-06,2025-W27,2,0,raw-0308-r01,Raw-0308-R01,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,درر نور الشام لبيع لحوم,درر نور الشام لبيع لحوم,,درر نور الشام لبيع لحوم,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6096,2025-07-07,2025-07,2025-W28,3,0,raw-0339-r01,Raw-0339-R01,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة مثال الشمال للحوم الطازجة,ملحمة مثال الشمال للحوم الطازجة,,ملحمة مثال الشمال للحوم الطازجة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,1,False
Data 2025.xlsx,6581,2025-07-21,2025-07,2025-W30,3,0,raw-0377-r01,Raw-0377-R01 ,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة بيت السعادة للتجارة,مؤسسة بيت السعادة للتجارة,,مؤسسة بيت السعادة للتجارة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,7647,2025-08-17,2025-08,2025-W33,3,6,raw-0476-r01,Raw-0476-R01,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة فيافي البلاد التجارية,ملحمة فيافي البلاد التجارية,,ملحمة فيافي البلاد التجارية,العليا,بلدية,بلدية العليا,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,2801,2025-12-04,2025-12,2025-W49,4,3,raw-0080-r01,Raw-0080-R01,لحم بطن نعيمي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,محل زواية الهلال للحوم الطازجة,محل زواية الهلال للحوم الطازجة,,محل زواية الهلال للحوم الطازجة,المعذر,بلدية,بلدية المعذر,False,True,العد الكلي للبكتيريا | السالمونيلا,العد الكلي للبكتيريا | السالمونيلا,2,السالمونيلا,العد الكلي للبكتيريا,True,pathogen,,3,True
