source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,1664,2025-03-01,2025-03,2025-W09,1,5,raw-0045-r01,Raw-0045-R01,لحم عجل,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,جودة المرعى,جودة المرعى,,جودة المرعى,العليا,بلدية,بلدية العليا,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,,1,False
Data 2025.xlsx,1727,2025-03-02,2025-03,2025-W09,1,6,raw-0046-r01,Raw-0046-R01,لحم عجل هندي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,الحباب للحوم,الحباب للحوم,,الحباب للحوم,العليا,بلدية,بلدية العليا,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,1732,2025-03-02,2025-03,2025-W09,1,6,raw-0051-r01,Raw-0051-R01,لحم عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,للحوم الطازجة,للحوم الطازجة,,للحوم الطازجة,العليا,بلدية,بلدية العليا,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,1796,2025-03-03,2025-03,2025-W10,1,0,raw-0057-r01,Raw-0057-R01,لحم عجل هندي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة هند العيسى للحوم المبردة,مؤسسة هند العيسى للحوم المبردة,,مؤسسة هند العيسى للحوم المبردة,العليا,بلدية,بلدية العليا,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,1797,2025-03-03,2025-03,2025-W10,1,0,raw-0058-r01,Raw-0058-R01,لحم عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,زاد كرمنا,زاد كرمنا,,زاد كرمنا,العليا,بلدية,بلدية العليا,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,2656,2025-04-07,2025-04,2025-W15,2,0,raw-0069-r01,Raw-0069-R01,لحم عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,شركة أركان اللحوم لأم الحمام للحوم الطازجة شركة شخص واحد,شركة أركان اللحوم لأم الحمام للحوم الطازجة شركة شخص واحد,,شركة أركان اللحوم لأم الحمام للحوم الطازجة شركة شخص واحد,المعذر,بلدية,بلدية المعذر,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,3672,2025-04-28,2025-04,2025-W18,2,0,raw-0136-r01,Raw-0136-R01,لحم عجل بلدي فخذ,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,تركي للذبائح,تركي للذبائح,,تركي للذبائح,الشمال,بلدية,بلدية الشمال,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,date_parsed_from_text,1,False
Data 2025.xlsx,7263,2025-06-08,2025-06,2025-W23,2,6,raw-0437-r01,Raw-0437-R01,لحم عجل فخذ,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة مؤسسة جود القصيم,ملحمة مؤسسة جود القصيم,,ملحمة مؤسسة جود القصيم,الشمال,بلدية,بلدية الشمال,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,5362,2025-06-18,2025-06,2025-W25,2,2,raw-0253-r01,Raw-0253-R01,لحم عجل بلدي نفس العجل,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة هبرة طرية للتجارة,مؤسسة هبرة طرية للتجارة,,مؤسسة هبرة طرية للتجارة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,7738,2025-08-19,2025-08,2025-W34,3,1,raw-0480-r01,Raw-0480-R01,لحم عجل كتف,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,اسواق ومخابز اغصان البساتين,اسواق ومخابز اغصان البساتين,,اسواق ومخابز اغصان البساتين,العليا,بلدية,بلدية العليا,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,date_parsed_from_text,1,False
