source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,46,2025-01-04,2025-01,2025-W01,1,5,ubot-0837-r01,Ubot-0837-R01,مياه حنفية للغسيل,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,فت هاوس,فت هاوس,,فت هاوس,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,,1,False
Data 2025.xlsx,47,2025-01-04,2025-01,2025-W01,1,5,ubot-0838-r01,Ubot-0838-R01,مياه غسيل حنفية,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مطعم اسلوب الغذاء,مطعم اسلوب الغذاء,,مطعم اسلوب الغذاء,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,,1,False
Data 2025.xlsx,94,2025-01-05,2025-01,2025-W01,1,6,ubot-0839-r01,Ubot-0839-R01,مياه حنفية لغسيل الادوات,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,فلافل ذوق,فلافل ذوق,,فلافل ذوق,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,,7,True
Data 2025.xlsx,95,2025-01-05,2025-01,2025-W01,1,6,ubot-0840-r01,Ubot-0840-R01,مياه فلتر للعجانة,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مطعم الشراع,مطعم الشراع,,مطعم الشراع,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,,9,True
Data 2025.xlsx,142,2025-01-06,2025-01,2025-W02,1,0,ubot-0841-r01,Ubot-0841-R01,مياه فلتر للطبخ,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مطعم مرافي الجزيرة للمثلوثة,مطعم مرافي الجزيرة للمثلوثة,,مطعم مرافي الجزيرة للمثلوثة,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,,6,True
Data 2025.xlsx,143,2025-01-06,2025-01,2025-W02,1,0,ubot-0842-r01,Ubot-0842-R01,مياه حنفية للطبخ,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مطعم شواية الزمرد,مطعم شواية الزمرد,,مطعم شواية الزمرد,العريجاء,بلدية,بلدية العريجاء,True,False,لا يوجد,,0,,,False,none,,4,True
Data 2025.xlsx,5940,2025-01-07,2025-01,2025-W02,1,1,ubot-1005-r01,Ubot-1005-R01,مياه حنفية لغسيل الادوات,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,محل صحاري نجد للحوم الطازجة,محل صحاري نجد للحوم الطازجة,,محل صحاري نجد للحوم الطازجة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,1,False
Data 2025.xlsx,8200,2025-01-09,2025-01,2025-W02,1,3,ubot-1076-r01,Ubot-1076-R01,مياه فلتر للعجانة م -ك,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير المعبأة (Unbottled water),water,لنتيكا بيزريا دي مايكل - حي جامعة الملك سعود,لنتيكا بيزريا دي مايكل,حي جامعة الملك سعود,لنتيكا بيزريا دي مايكل - حي جامعة الملك سعود,المعذر,بلدية,بلدية المعذر,False,True,كوليفورم,كوليفورم,1,,كوليفورم,False,indicator_only,category_merged_to_canonical,3,True
Data 2025.xlsx,8201,2025-01-09,2025-01,2025-W02,1,3,ubot-1077-r01,Ubot-1077-R01,مياه فلتر لغسيل الادوات م- ك,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير المعبأة (Unbottled water),water,مقهي عبدالعزيز راشد الحميض للمشروبات الساخنة جوز كافيه,مقهي عبدالعزيز راشد الحميض للمشروبات الساخنة جوز كافيه,,مقهي عبدالعزيز راشد الحميض للمشروبات الساخنة جوز كافيه,المعذر,بلدية,بلدية المعذر,True,False,لا يوجد,,0,,,False,none,category_merged_to_canonical,12,True
Data 2025.xlsx,238,2025-01-11,2025-01,2025-W02,1,5,ubot-0844-r01,Ubot-0844-R01,مياه حنفية لغسيل الادوات,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مطعم مارلو,مطعم مارلو,,مطعم مارلو,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,5,True
Data 2025.xlsx,288,2025-01-12,2025-01,2025-W02,1,6,ubot-0845-r01,Ubot-0845-R01,مياه حنفية لغسيل الادوات,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,العثيم,العثيم,,العثيم,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,8,True
Data 2025.xlsx,289,2025-01-12,2025-01,2025-W02,1,6,ubot-0846-r01,Ubot-0846-R01,مياه فلتر لغسيل الادوات,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مطعم صحاري دمشق,مطعم صحاري دمشق,,مطعم صحاري دمشق,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,7,True
Data 2025.xlsx,340,2025-01-13,2025-01,2025-W03,1,0,ubot-0847-r01,Ubot-0847-R01,مياه فلتر للاطبخ,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مطعم كشري ركن المنال,مطعم كشري ركن المنال,,مطعم كشري ركن المنال,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,2,True
Data 2025.xlsx,341,2025-01-13,2025-01,2025-W03,1,0,ubot-0848-r01,Ubot-0848-R01,مياه فلتر طبخ,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,رنوش للعصائر,رنوش للعصائر,,رنوش للعصائر,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,5,True
