source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,2796,2025-09-04,2025-09,2025-W36,3,3,raw-0076-r01,Raw-0076-R01,لحم بقر هندي مستورد رجل,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,لطيفه ناصر محمد الهديق بيع لحوم مبردة,لطيفه ناصر محمد الهديق بيع لحوم مبردة,,لطيفه ناصر محمد الهديق بيع لحوم مبردة,المعذر,بلدية,بلدية المعذر,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,2797,2025-09-04,2025-09,2025-W36,3,3,raw-0077-r01,Raw-0077-R01,لحم تيس حبشي مستورد فخذ,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,لطيفه ناصر محمد الهديق بيع لحوم مبردة,لطيفه ناصر محمد الهديق بيع لحوم مبردة,,لطيفه ناصر محمد الهديق بيع لحوم مبردة,المعذر,بلدية,بلدية المعذر,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,2798,2025-09-04,2025-09,2025-W36,3,3,ubot-0929-r01,Ubot-0929-R01,مياه حنفية غسيل الادوات,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,لطيفه ناصر محمد الهديق بيع لحوم مبردة,لطيفه ناصر محمد الهديق بيع لحوم مبردة,,لطيفه ناصر محمد الهديق بيع لحوم مبردة,المعذر,بلدية,بلدية المعذر,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,6217,2025-09-07,2025-09,2025-W36,3,6,raw-0345-r01,Raw-0345-R01,لحم فخذ عجل باكستاني,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,6218,2025-09-07,2025-09,2025-W36,3,6,raw-0346-r01,Raw-0346-R01,كبدة نعيمي بلدي خاروف اخر,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,6219,2025-09-07,2025-09,2025-W36,3,6,raw-0347-r01,Raw-0347-R01,لحم بطن خاروف باكستاني,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,6214,2025-09-07,2025-09,2025-W36,3,6,ubot-1030-r01,Ubot-1030-R01,مياه حنفية لغسيل الادوات,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مؤسسة معالي حمود حواس العنزي للحوم,مؤسسة معالي حمود حواس العنزي للحوم,,مؤسسة معالي حمود حواس العنزي للحوم,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,6220,2025-09-07,2025-09,2025-W36,3,6,ubot-1033-r01,Ubot-1033-R01,مياه فلتر لغسيل الادوات,المياه الغير معبأة (Unbottled water),Unbottled water,المياه الغير معبأة (Unbottled water),water,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,,مؤسسة بدور محمد عوض العمزي للحوم الطازجة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,7285,2025-09-08,2025-09,2025-W37,3,0,1-3346-R01,1-3346-R01 ,معكرونة,(macaroni) مكرونة,macaroni,(macaroni) مكرونة,prepared_meal,مشاغيث - حي قرطبة,مشاغيث,حي قرطبة,مشاغيث - حي قرطبة,الروضة,بلدية,بلدية الروضة,False,True,ايشيريشيا كولاي | استافيلوكوكس اورياس | باسيلس سيريس,ايشيريشيا كولاي | استافيلوكوكس اورياس | باسيلس سيريس,3,ايشيريشيا كولاي | استافيلوكوكس اورياس | باسيلس سيريس,,True,multi_pathogen,,4,True
Data 2025.xlsx,7286,2025-09-08,2025-09,2025-W37,3,0,1-3347-R01,1-3347-R01 ,لقيمات,( Luqaimat) لقيمات,Luqaimat,( Luqaimat) لقيمات,sauce_condiment,مشاغيث - حي قرطبة,مشاغيث,حي قرطبة,مشاغيث - حي قرطبة,الروضة,بلدية,بلدية الروضة,True,True,كوليفورم,كوليفورم,1,,كوليفورم,False,indicator_only,validity_says_valid_but_has_failures,5,True
