source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,44,2025-01-04,2025-01,2025-W01,1,5,ck-0122-r01,ck-0122-R01,تشيزكيك توت,كيك (cake),cake,كيك (cake),sweets_bakery,عصائر منجا الزعيم,عصائر منجا الزعيم,,عصائر منجا الزعيم,العريجاء,بلدية,بلدية العريجاء,False,True,العد الكلي للبكتيريا | انتيروباكتريسي,العد الكلي للبكتيريا | انتيروباكتريسي,2,,العد الكلي للبكتيريا | انتيروباكتريسي,False,indicator_only,,4,True
Data 2025.xlsx,18,2025-01-04,2025-01,2025-W01,1,5,co-0416-r01,co-0416-R01,دجاج فهيتا,الدجاج المطبوخ (Cooked chicken),Cooked chicken,الدجاج المطبوخ (Cooked chicken),cooked_meat_poultry,مطعم اسلوب الغذاء,مطعم اسلوب الغذاء,,مطعم اسلوب الغذاء,العريجاء,بلدية,بلدية العريجاء,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,1,False
Data 2025.xlsx,38,2025-01-04,2025-01,2025-W01,1,5,icecrea-0092-r01,icecrea-0092-R01,ايس كريم فانيلا,(ice cream) ايسكريم,ice cream,(ice cream) ايسكريم,dairy,عصائر منجا الزعيم,عصائر منجا الزعيم,,عصائر منجا الزعيم,العريجاء,بلدية,بلدية العريجاء,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,2,True
Data 2025.xlsx,12,2025-01-04,2025-01,2025-W01,1,5,sal-0958-r01,Sal-0958-R01,تبولة,السلطة(Salad),Salad,السلطة(Salad),produce,فت هاوس,فت هاوس,,فت هاوس,العريجاء,بلدية,بلدية العريجاء,False,True,ايشيريشيا كولاي,ايشيريشيا كولاي,1,ايشيريشيا كولاي,,True,pathogen,,1,False
Data 2025.xlsx,36,2025-01-04,2025-01,2025-W01,1,5,sau-1036-r01,sau-1036-R01,صوص لوتس,صوص (sauce),sauce,صوص (sauce),sauce_condiment,عصائر منجا الزعيم,عصائر منجا الزعيم,,عصائر منجا الزعيم,العريجاء,بلدية,بلدية العريجاء,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,1,False
Data 2025.xlsx,42,2025-01-04,2025-01,2025-W01,1,5,sw-2163-r01,sw-2163-R01,مسحة طاولة تقطيع فواكه,(Swabs) المسحات,Swabs,(Swabs) المسحات,swab,عصائر منجا الزعيم,عصائر منجا الزعيم,,عصائر منجا الزعيم,العريجاء,بلدية,بلدية العريجاء,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,3,True
Data 2025.xlsx,84,2025-01-05,2025-01,2025-W01,1,6,O-r-O3-le-0284-R01,O-r-O3-le-0284-R01,قطع خس,الخس (Lettuce),Lettuce,الخس (Lettuce),produce,مطعم منيرة ال عويس,مطعم منيرة ال عويس,,مطعم منيرة ال عويس,العريجاء,بلدية,بلدية العريجاء,False,True,استافيلوكوكس اورياس,استافيلوكوكس اورياس,1,استافيلوكوكس اورياس,,True,pathogen,,3,True
Data 2025.xlsx,85,2025-01-05,2025-01,2025-W01,1,6,OO-OSS-po-0311-R01,OO-OSS-po-0311-R01,بطاطس مقلي,البطاطس (potatoes),potatoes,البطاطس (potatoes),produce,مطعم منيرة ال عويس,مطعم منيرة ال عويس,,مطعم منيرة ال عويس,العريجاء,بلدية,بلدية العريجاء,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,,4,True
Data 2025.xlsx,49,2025-01-05,2025-01,2025-W01,1,6,OU-pa-0197-R01,OU-pa-0197-R01,قطع بقدونس,البقدونس (parsley),parsley,البقدونس (parsley),produce,فلافل ذوق,فلافل ذوق,,فلافل ذوق,العريجاء,بلدية,بلدية العريجاء,False,True,ايشيريشيا كولاي | استافيلوكوكس اورياس,ايشيريشيا كولاي | استافيلوكوكس اورياس,2,ايشيريشيا كولاي | استافيلوكوكس اورياس,,True,multi_pathogen,,1,False
Data 2025.xlsx,65,2025-01-05,2025-01,2025-W01,1,6,OU-pa-0198-R01,OU-pa-0198-R01,قطع بقدونس,البقدونس (parsley),parsley,البقدونس (parsley),produce,مطعم الشراع,مطعم الشراع,,مطعم الشراع,العريجاء,بلدية,بلدية العريجاء,False,True,استافيلوكوكس اورياس,استافيلوكوكس اورياس,1,استافيلوكوكس اورياس,,True,pathogen,,2,True
