section,metric,report,ours,delta,notes
TOTALS,Total samples (MICRO),11404.0,11563.0,159.0,+1.4%
TOTALS,Compliant samples,8345.0,8524.0,179.0,
TOTALS,Compliance rate %,73.18,73.72,0.54,pp
MONTHLY (samples),Jan samples,859.0,944.0,85.0,
MONTHLY (samples),Feb samples,782.0,967.0,185.0,
MONTHLY (samples),Mar samples,761.0,913.0,152.0,
MONTHLY (samples),Apr samples,1380.0,1454.0,74.0,
MONTHLY (samples),May samples,1269.0,974.0,-295.0,
MONTHLY (samples),June samples,704.0,971.0,267.0,
MONTHLY (samples),July samples,1130.0,827.0,-303.0,
MONTHLY (samples),Aug samples,1107.0,668.0,-439.0,
MONTHLY (samples),Sep samples,806.0,647.0,-159.0,
MONTHLY (samples),Oct samples,803.0,908.0,105.0,
MONTHLY (samples),Nov samples,935.0,1181.0,246.0,
MONTHLY (samples),Dec samples,868.0,1109.0,241.0,
MONTHLY (compliance %),Jan compliance %,70.2,70.02,-0.18,pp
MONTHLY (compliance %),Feb compliance %,72.38,70.73,-1.65,pp
MONTHLY (compliance %),Mar compliance %,81.21,79.52,-1.69,pp
MONTHLY (compliance %),Apr compliance %,69.49,69.53,0.04,pp
MONTHLY (compliance %),May compliance %,71.39,68.58,-2.81,pp
MONTHLY (compliance %),June compliance %,73.58,74.36,0.78,pp
MONTHLY (compliance %),July compliance %,72.12,75.45,3.33,pp
MONTHLY (compliance %),Aug compliance %,71.54,71.26,-0.28,pp
MONTHLY (compliance %),Sep compliance %,74.57,75.89,1.32,pp
MONTHLY (compliance %),Oct compliance %,71.73,78.52,6.79,pp
MONTHLY (compliance %),Nov compliance %,75.72,73.92,-1.8,pp
MONTHLY (compliance %),Dec compliance %,78.69,78.9,0.21,pp
PER-TEST (invalid counts),العد الكلي للبكتيريا (Aerobic plate count),1514.0,1491.0,-23.0,report total: 6645
PER-TEST (invalid counts),استافيلوكوكس اورياس (Staphylococcus aureas),862.0,765.0,-97.0,report total: 7250
PER-TEST (invalid counts),الخمائر والاعفان (Yeasts & Molds),736.0,650.0,-86.0,report total: 4561
PER-TEST (invalid counts),انتيروباكتريسي (Enterobacteriaceae),556.0,380.0,-176.0,report total: 3784
PER-TEST (invalid counts),ايشيريشيا كولاي (E. coli),264.0,195.0,-69.0,report total: 7342
PER-TEST (invalid counts),السالمونيلا (Salmonella),140.0,122.0,-18.0,report total: 8305
PER-TEST (invalid counts),كوليفورم (Coliforms),86.0,83.0,-3.0,report total: 778
PER-TEST (invalid counts),باسيلس سيريس (Bacillus cereus),33.0,29.0,-4.0,report total: 1340
PER-TEST (invalid counts),سيدوموناس (Pseudomonas aeruginosa),20.0,15.0,-5.0,report total: 332
