sample_id,gso_category
gcv-0148-r01,Ready to Eat Foods
gcv-0150-r01,Ready to Eat Foods
sweet-0666-r01,Cereals; Legumes and their Products
sweet-0668-r01,Dairy Products
sweet-0669-r01,Cereals; Legumes and their Products
sweet-0670-r01,Ready to Eat Foods
jm-0019-r01,Ready to Eat Foods
1-2669-r01,Cereals; Legumes and their Products
sal-1017-r01,Ready to Eat Foods
raw-0038-r01,"Meat, Poultry and its Products"
1-2732-r01,Fats and Oils
fish-0098-r01,Fish and Shellfish their Products
o-u-to-0553-r01,Fruit and Vegetables
1-2769-r01,Ready to Eat Foods
1-2781-r01,Dairy Products
oossu-ok-0067-r01,Ready to Eat Foods
1-2823-r01,"Chocolate, Sweets and their Ingredients"
1-2835-r01,"Chocolate, Sweets and their Ingredients"
oossu-ok-0068-r01,Ready to Eat Foods
ooss-eg-0320-r01,Ready to Eat Foods
appe-0353-r01,Ready to Eat Foods
appe-0354-r01,Ready to Eat Foods
gcv-0184-r01,Ready to Eat Foods
kib-0019-r01,Ready to Eat Foods
sweet-0861-r01,Cereals; Legumes and their Products
sweet-0862-r01,Cereals; Legumes and their Products
sweet-0863-r01,"Chocolate, Sweets and their Ingredients"
oossu-ok-0069-r01,Ready to Eat Foods
jm-0020-r01,Ready to Eat Foods
1-2873-r01,Ready to Eat Foods
1-2875-r01,Ready to Eat Foods
ubot-0926-r01,Drinking Water
1-2918-r01,Fruit and Vegetables
oau-be-0042-r01,Cereals; Legumes and their Products
1-3021-r01,Ready to Eat Foods
1-3080-r01,Ready to Eat Foods
1-3091-r01,Fruit and Vegetables
oau-be-0047-r01,Fruit and Vegetables
1-3198-r01,Fruit and Vegetables
sau-1997-r01,Fruit and Vegetables
1-3267-r01,"Chocolate, Sweets and their Ingredients"
1-3298-r01,Fruit and Vegetables
uo-ra-0104-r01,Fruit and Vegetables
gcv-0251-r01,Ready to Eat Foods
mango-0052-r01,Fruit and Vegetables
1-3301-r01,"Meat, Poultry and its Products"
1-3308-r01,Dairy Products
uo-ce-0006-r01,Fruit and Vegetables
o-r-u-pe-0064-r01,Fruit and Vegetables
chee-0851-r01,Dairy Products
chee-0852-r01,Dairy Products
pop-0004-r01,Cereals; Legumes and their Products
pop-0005-r01,Cereals; Legumes and their Products
pop-0006-r01,Cereals; Legumes and their Products
pop-0007-r01,Cereals; Legumes and their Products
sau-2380-r01,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
1-3502-r01,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
1-3652-r01,Fish and Shellfish their Products
o1u-gr-0151-r01,Fruit and Vegetables
1-3715-r01,Fruit and Vegetables
1-3720-r01,Cereals; Legumes and their Products
sweet-0895-r01,"Chocolate, Sweets and their Ingredients"
uu-ma-0011-r01,"Chocolate, Sweets and their Ingredients"
ubot-1064-r01,Drinking Water
