sample_name,gso_category
ايس تي خوخ,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
ايس تي,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
قهوة باردة,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
مشروب ايس تي,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
مشروب ايس كافي,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
قهوة كولد برو,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
شاي بالخوخ,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
شاهي اخضر,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
عصير شاي - سويت تي,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
ايس تي مشروب,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
مشروب قهوة باردة,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
قهوة باردة (مشروب),"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
مشروب شاهي بارد,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
مشروب شاهي مثلج بالسكر,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
عصير ليمون (تبولة),"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
شراب قهوة سائلة,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
شراب شاهي اخضر,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
شراب شاهي اسود,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
مياه طبخ فلتر م-ك,Drinking Water
قهوة باردة سورس,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
ايس كرك,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
اي ستي كركدية,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
حليب صويا,Dairy Products
ايس تي اخضر,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
قهوة اسبريسو,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
مشروب شاهي قرفة,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
شاهي مركز خوخ,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
ايس تي مديني اخضر,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
قهوة لاتية,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
قهوة فرنسي بارد,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
قهوة موكا بارد,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
قهوة اليوم باردة,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
ايس كافي,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
ايدام عدس,Ready to Eat Foods
تشيز كيك ايسكريم,Dairy Products
تشيز ايسكريم,Dairy Products
صلصة ذرة,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
سلطة فول مدمس,Ready to Eat Foods
سلطة ذرة حلوة,Ready to Eat Foods
بتر شوكولاته كبير,"Chocolate, Sweets and their Ingredients"
مسحه حافظه شابورة (1),Environmental Swabs
مسحه حافظه شابورة (2),Environmental Swabs
مسحه حافظه شابورة (3),Environmental Swabs
مسحه حافظه شابورة (4),Environmental Swabs
فول بالطماطم - مطبوخ,Ready to Eat Foods
فتوش - مقبلات,Ready to Eat Foods
فول قلابة مطبوخ,Ready to Eat Foods
جريش احمر,Ready to Eat Foods
م ك 1سرات يابانية,"Chocolate, Sweets and their Ingredients"
مكسرات يابانية,"Chocolate, Sweets and their Ingredients"
مشروب بلو بيري,Beverages
جريش مطبوخ,Ready to Eat Foods
فاصوليا حمراء مطبوخ,Ready to Eat Foods
شعير فيدكو,Animal Feed
شعير مضغوط,Animal Feed
شعيرة دجاج مطبوخ,"Meat, Poultry and its Products"
شوفان مع حليب شوفان,Ready to Eat Foods
تراميسو,Cereals; Legumes and their Products
كروسان زعتر,Cereals; Legumes and their Products
حلا لوتس,Cereals; Legumes and their Products
كريم كراميل,Ready to Eat Foods
كروسان سادة,Cereals; Legumes and their Products
تشيز كيك فراولة,Cereals; Legumes and their Products
خبز,Cereals; Legumes and their Products
فطيرة زعتر,Cereals; Legumes and their Products
كيكة عسل,Cereals; Legumes and their Products
كروسان شوكولاتة,Cereals; Legumes and their Products
تشيز كيك,Cereals; Legumes and their Products
خبز فتوش,Cereals; Legumes and their Products
خبز صاج,Cereals; Legumes and their Products
حلا جلي فراولة,"Jelly, Jam and Marmalade"
كوكيز,Cereals; Legumes and their Products
فطيرة جبن مالح,Cereals; Legumes and their Products
فطيرة سبانخ,Cereals; Legumes and their Products
كريمة كراميل,Ready to Eat Foods
كيك رد فلفت,Cereals; Legumes and their Products
كروسان جبن مالح,Cereals; Legumes and their Products
كوكيز شوكولاتة,Cereals; Legumes and their Products
حلا فراولة,Cereals; Legumes and their Products
كيك عسل,Cereals; Legumes and their Products
خبز معصوب,Cereals; Legumes and their Products
كريمة,Ready to Eat Foods
تشيز كيك توت,Cereals; Legumes and their Products
حلا كريم كراميل,Ready to Eat Foods
كروسان جبن شيدر,Cereals; Legumes and their Products
كورسان سادة,Cereals; Legumes and their Products
كروسان شوكليت,Cereals; Legumes and their Products
تارت بيكان,Ready to Eat Foods
خبز بالتمر,Cereals; Legumes and their Products
حلا توت بري,Cereals; Legumes and their Products
تشيز كيك لوتس,Cereals; Legumes and their Products
كروسان لبنة عسل,Cereals; Legumes and their Products
كروسان نقانق,Cereals; Legumes and their Products
كيك تمر,Cereals; Legumes and their Products
رد فلفت,Cereals; Legumes and their Products
كيك تراميسو,Cereals; Legumes and their Products
كروسان لوز,Cereals; Legumes and their Products
خبز برجر,Cereals; Legumes and their Products
حلا اوريو,Cereals; Legumes and their Products
